Commodity,Start,End,Duration_Days,Peak_Prob,Event_ID,Event_Name,Category,Strength
Corn,2008-07-29,2008-08-19,16,1.0,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Corn,2008-09-12,2009-02-09,98,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2009-03-04,2009-03-17,10,0.9988,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2009-03-27,2009-04-30,23,0.9998,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2009-06-30,2009-07-24,17,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2009-09-04,2009-09-24,13,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2009-10-12,2009-11-09,20,0.9949,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2009-11-23,2009-12-11,13,0.9711,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2010-07-20,2010-08-05,13,0.9939,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2010-09-27,2010-10-22,20,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2010-11-03,2010-11-17,11,0.9997,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Corn,2010-11-19,2010-12-03,9,1.0,46,2010–11 grain bull market,Supply/Demand,strong
Corn,2011-03-11,2011-03-18,6,0.9799,46,2010–11 grain bull market,Supply/Demand,strong
Corn,2011-04-20,2011-07-18,58,1.0,46,2010–11 grain bull market,Supply/Demand,strong
Corn,2011-09-01,2011-09-30,20,0.9985,46,2010–11 grain bull market,Supply/Demand,strong
Corn,2012-04-17,2012-05-24,28,0.9998,48,2012 US drought,Weather,strong
Corn,2012-06-06,2012-07-12,25,0.9999,48,2012 US drought,Weather,strong
Corn,2013-04-29,2013-05-13,11,0.9976,49,2013 late planting + harvest,Weather,probable
Corn,2013-08-15,2013-09-13,20,1.0,49,2013 late planting + harvest,Weather,probable
Corn,2015-01-07,2015-01-13,5,0.9873,91,2015 corn winter weather,Weather,probable
Corn,2016-06-20,2016-07-13,16,0.9996,53,2016 Argentine flooding (soybean),Weather,strong
Corn,2019-06-28,2019-07-12,8,0.9998,56,2019 US late-planting crisis (corn),Weather,strong
Corn,2020-06-29,2020-07-10,8,0.9766,58,2020 COVID-19 demand collapse (sugar),Financial/Macro,strong
Corn,2021-05-14,2021-06-02,12,1.0,61,2021 grain bull market,Supply/Demand,strong
Corn,2021-06-25,2021-07-23,19,0.9988,61,2021 grain bull market,Supply/Demand,strong
Corn,2022-06-24,2022-07-25,20,1.0,63,Russia-Ukraine war (Feb 2022+),Geopolitics,strong
Corn,2023-05-15,2023-07-26,25,1.0,68,Black Sea Grain deal collapse,Geopolitics,strong
Corn,2024-06-25,2024-07-15,13,0.999,73,2024 corn pollination-window dryness,Weather,strong
Corn,2025-02-25,2025-03-17,15,0.998,76,2025 Trump tariffs on Mexico/Canada,Trade/Tariff,strong
Cotton,2008-10-16,2008-10-23,6,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Cotton,2008-11-21,2008-12-01,5,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Cotton,2010-11-16,2010-11-24,7,0.9998,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Cotton,2011-04-15,2011-04-27,7,0.9992,45,2010–11 Cotton historic highs,Supply/Demand,strong
Lumber,1986-07-09,1986-08-25,34,1.0,1,1986–87 early-era weather and policy volatility,Weather,probable
Lumber,1993-02-05,1994-02-17,251,1.0,5,1993–96 Spotted Owl / Clinton Forest Plan,Policy/Regulation,strong
Lumber,1994-03-24,1994-10-21,143,1.0,5,1993–96 Spotted Owl / Clinton Forest Plan,Policy/Regulation,strong
Lumber,1995-06-07,1995-12-08,126,1.0,5,1993–96 Spotted Owl / Clinton Forest Plan,Policy/Regulation,strong
Lumber,1996-01-24,1996-02-01,7,0.9539,5,1993–96 Spotted Owl / Clinton Forest Plan,Policy/Regulation,strong
Lumber,1996-08-29,1996-11-14,54,0.99,5,1993–96 Spotted Owl / Clinton Forest Plan,Policy/Regulation,strong
Lumber,1998-05-28,1998-06-16,14,0.9763,15,1998 Asian Financial Crisis (lumber),Financial/Macro,probable
Lumber,2001-01-12,2001-07-17,123,1.0,22,2001–04 Canadian Softwood Lumber dispute,Trade/Tariff,strong
Lumber,2001-09-07,2002-04-15,139,1.0,22,2001–04 Canadian Softwood Lumber dispute,Trade/Tariff,strong
Lumber,2003-01-17,2003-02-11,16,0.9973,22,2001–04 Canadian Softwood Lumber dispute,Trade/Tariff,strong
Lumber,2003-06-18,2004-02-18,159,0.9999,22,2001–04 Canadian Softwood Lumber dispute,Trade/Tariff,strong
Lumber,2005-08-26,2005-09-30,24,0.9991,32,2005 Hurricane Katrina + Rita,Weather,strong
Lumber,2007-10-29,2007-11-02,5,0.9575,77,Pre-2008 US housing collapse (lumber),Financial/Macro,strong
Lumber,2008-02-07,2008-05-02,56,0.9999,77,Pre-2008 US housing collapse (lumber),Financial/Macro,strong
Lumber,2008-10-20,2009-12-02,270,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Lumber,2010-01-11,2010-11-03,200,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Lumber,2010-12-08,2011-01-13,25,0.9981,47,2010–12 housing recovery (lumber),Financial/Macro,probable
Lumber,2011-04-05,2011-07-08,62,1.0,47,2010–12 housing recovery (lumber),Financial/Macro,probable
Lumber,2011-08-01,2011-10-14,48,1.0,47,2010–12 housing recovery (lumber),Financial/Macro,probable
Lumber,2011-11-11,2012-02-06,54,0.9999,47,2010–12 housing recovery (lumber),Financial/Macro,probable
Lumber,2013-05-29,2013-06-07,8,0.9993,49,2013 late planting + harvest,Weather,probable
Lumber,2015-04-15,2015-06-04,35,0.9681,52,2015 housing recovery weakness (lumber),Financial/Macro,probable
Lumber,2015-09-09,2015-10-08,22,0.9786,52,2015 housing recovery weakness (lumber),Financial/Macro,probable
Lumber,2018-07-26,2019-08-09,249,1.0,54,2017–19 Canadian softwood duties + BC wildfires,Trade/Tariff,strong
Lumber,2020-03-16,2022-12-19,671,1.0,59,2020–22 COVID housing boom / lumber squeeze,Financial/Macro,strong
Lumber,2023-01-23,2023-05-10,70,1.0,67,Post-COVID housing slowdown (lumber),Financial/Macro,strong
Lumber,2023-11-06,2023-11-17,8,0.9999,70,2023 post-COVID rate volatility (lumber),Financial/Macro,probable
Lumber,2024-07-12,2024-08-02,16,1.0,75,2024 Canadian/US lumber mill curtailments,Supply/Demand,strong
Lumber,2024-08-06,2024-08-12,5,0.9213,75,2024 Canadian/US lumber mill curtailments,Supply/Demand,strong
Lumber,2025-08-25,2025-09-15,10,1.0,92,2025 Lumber late-summer volatility,Unknown,probable
Oats,1988-05-10,1988-05-16,5,0.9994,2,1988 North American drought,Weather,strong
Oats,1996-04-29,1996-05-03,5,1.0,83,1996 oats spring weather,Weather,probable
Oats,2001-07-16,2001-07-23,6,1.0,21,2001 Canadian Prairies drought,Weather,probable
Oats,2011-05-05,2011-05-11,5,1.0,78,2011 Oats data artifact (flat-run exit),Data Artifact,strong
Soybean,1986-08-29,1986-09-09,6,0.9996,1,1986–87 early-era weather and policy volatility,Weather,probable
Soybean,1988-06-21,1988-08-01,28,1.0,2,1988 North American drought,Weather,strong
Soybean,1988-10-06,1988-10-13,6,0.9427,2,1988 North American drought,Weather,strong
Soybean,1991-07-26,1991-08-05,7,1.0,3,Summer 1991 weather,Weather,probable
Soybean,1997-04-04,1997-04-11,6,0.9978,13,1997 growing-season weather,Weather,probable
Soybean,1997-06-02,1997-06-09,6,0.9801,13,1997 growing-season weather,Weather,probable
Soybean,1997-06-30,1997-07-09,6,1.0,13,1997 growing-season weather,Weather,probable
Soybean,1997-08-28,1997-09-05,5,1.0,13,1997 growing-season weather,Weather,probable
Soybean,1999-07-21,1999-08-05,12,0.9999,16,1999 Eastern Corn Belt drought,Weather,probable
Soybean,2001-07-16,2001-07-20,5,0.9637,20,Summer 2000–2001 weather,Weather,probable
Soybean,2003-11-04,2003-11-11,6,0.9961,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean,2004-02-05,2004-02-13,7,0.9991,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean,2004-03-09,2004-03-17,7,1.0,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean,2004-03-31,2004-04-15,10,0.9999,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean,2004-05-07,2004-06-21,28,1.0,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean,2004-07-01,2004-08-27,40,1.0,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean,2004-11-10,2004-11-22,9,1.0,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean,2005-06-27,2005-07-11,9,1.0,34,Summer 2005–2006 US grain weather,Weather,probable
Soybean,2005-08-15,2005-08-19,5,0.9963,34,Summer 2005–2006 US grain weather,Weather,probable
Soybean,2006-07-19,2006-07-26,6,1.0,34,Summer 2005–2006 US grain weather,Weather,probable
Soybean,2007-07-16,2007-07-23,6,1.0,38,2007 US ethanol mandate surge (RFS2),Policy/Regulation,strong
Soybean,2008-04-09,2008-05-20,29,1.0,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Soybean,2008-05-22,2008-06-06,10,0.9852,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Soybean,2008-07-16,2008-08-07,17,1.0,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Soybean,2008-09-03,2008-09-10,6,0.9971,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Soybean,2008-10-08,2008-11-17,28,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Soybean,2009-04-23,2009-04-29,5,0.9914,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Soybean,2009-07-07,2009-07-14,6,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Soybean,2009-08-10,2009-09-16,26,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Soybean,2010-11-09,2010-11-15,5,0.992,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Soybean,2011-01-05,2011-01-12,6,1.0,46,2010–11 grain bull market,Supply/Demand,strong
Soybean,2012-07-23,2012-08-09,14,0.9999,48,2012 US drought,Weather,strong
Soybean,2012-09-14,2012-09-20,5,0.9848,48,2012 US drought,Weather,strong
Soybean,2013-08-19,2013-08-26,6,0.9994,49,2013 late planting + harvest,Weather,probable
Soybean,2014-08-27,2014-10-14,33,1.0,51,2014 Argentina drought / US record soybean crop,Weather,strong
Soybean,2016-06-30,2016-07-25,16,1.0,53,2016 Argentine flooding (soybean),Weather,strong
Soybean,2022-07-22,2022-09-15,38,1.0,63,Russia-Ukraine war (Feb 2022+),Geopolitics,strong
Soybean,2023-06-29,2023-07-10,6,1.0,68,Black Sea Grain deal collapse,Geopolitics,strong
Soybean,2023-08-07,2023-08-15,7,1.0,68,Black Sea Grain deal collapse,Geopolitics,strong
Soybean_Oil,1986-07-09,1986-07-21,9,1.0,1,1986–87 early-era weather and policy volatility,Weather,probable
Soybean_Oil,1986-08-12,1986-08-26,11,0.9338,1,1986–87 early-era weather and policy volatility,Weather,probable
Soybean_Oil,1986-09-22,1986-10-31,28,1.0,1,1986–87 early-era weather and policy volatility,Weather,probable
Soybean_Oil,1988-01-13,1988-02-02,15,0.9983,79,1988 soybean-oil pre-drought positioning,Weather,probable
Soybean_Oil,1988-06-17,1988-08-03,32,1.0,2,1988 North American drought,Weather,strong
Soybean_Oil,1988-08-15,1988-08-24,8,0.93,2,1988 North American drought,Weather,strong
Soybean_Oil,1988-09-22,1988-10-26,25,1.0,2,1988 North American drought,Weather,strong
Soybean_Oil,1990-07-05,1990-07-23,13,0.9805,80,1990–91 early-decade soy-complex volatility,Weather,probable
Soybean_Oil,1991-07-25,1991-08-14,15,1.0,3,Summer 1991 weather,Weather,probable
Soybean_Oil,1991-10-10,1991-10-16,5,1.0,80,1990–91 early-decade soy-complex volatility,Weather,probable
Soybean_Oil,1993-06-17,1993-06-30,10,0.9818,4,1993 Mississippi floods,Weather,strong
Soybean_Oil,1994-12-20,1995-01-09,11,1.0,7,1994–95 South American crop volatility,Weather,probable
Soybean_Oil,1995-05-18,1995-05-26,7,0.9727,7,1994–95 South American crop volatility,Weather,probable
Soybean_Oil,1995-06-06,1995-06-13,6,0.9339,7,1994–95 South American crop volatility,Weather,probable
Soybean_Oil,1995-06-29,1995-07-07,5,0.9942,7,1994–95 South American crop volatility,Weather,probable
Soybean_Oil,1999-02-18,1999-03-10,15,0.9996,18,1999 Brazilian real devaluation,Financial/Macro,strong
Soybean_Oil,1999-04-07,1999-04-21,11,0.9877,18,1999 Brazilian real devaluation,Financial/Macro,strong
Soybean_Oil,1999-07-28,1999-08-12,12,0.9884,18,1999 Brazilian real devaluation,Financial/Macro,strong
Soybean_Oil,2001-02-01,2001-03-07,23,0.9971,23,2001 Argentina financial/economic crisis,Financial/Macro,strong
Soybean_Oil,2001-06-28,2001-08-29,43,1.0,23,2001 Argentina financial/economic crisis,Financial/Macro,strong
Soybean_Oil,2001-11-20,2001-12-03,7,0.9619,23,2001 Argentina financial/economic crisis,Financial/Macro,strong
Soybean_Oil,2002-01-25,2002-04-08,48,0.9999,23,2001 Argentina financial/economic crisis,Financial/Macro,strong
Soybean_Oil,2003-06-23,2003-06-30,6,0.9997,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean_Oil,2003-09-11,2003-10-14,24,0.9995,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean_Oil,2004-03-09,2004-03-17,7,0.996,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean_Oil,2004-03-30,2004-06-22,55,0.9988,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean_Oil,2004-08-09,2004-08-17,7,0.998,29,2003–04 Asian Soybean Rust (S.America to USA),Disease/Pest,strong
Soybean_Oil,2008-03-03,2008-05-29,58,1.0,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Soybean_Oil,2008-09-16,2008-11-11,40,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Soybean_Oil,2008-12-19,2009-01-23,20,0.9999,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Soybean_Oil,2009-07-29,2009-08-13,12,0.9998,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Soybean_Oil,2014-09-25,2014-10-08,10,0.9851,51,2014 Argentina drought / US record soybean crop,Weather,strong
Soybean_Oil,2020-09-29,2020-10-15,13,0.9613,89,2020 COVID-era soybean oil demand rebound,Financial/Macro,probable
Soybean_Oil,2021-03-22,2021-07-23,84,1.0,60,2021 Renewable diesel boom,Biofuel/Energy,strong
Soybean_Oil,2022-03-02,2022-09-30,143,1.0,63,Russia-Ukraine war (Feb 2022+),Geopolitics,strong
Soybean_Oil,2022-11-22,2023-01-04,26,1.0,66,2022–23 Ukraine war continuing + biofuel uncertainty,Geopolitics,strong
Soybean_Oil,2023-03-03,2023-03-23,15,0.9993,66,2022–23 Ukraine war continuing + biofuel uncertainty,Geopolitics,strong
Soybean_Oil,2023-05-12,2023-08-07,34,1.0,90,2023 biofuel mandate speculation (soybean oil),Policy/Regulation,strong
Soybean_Oil,2023-09-21,2023-12-11,43,0.9997,69,2023 EPA final RVO biofuel standards,Policy/Regulation,strong
Soybean_Oil,2024-03-14,2024-03-25,8,0.966,72,2024 biofuel policy uncertainty (soybean oil),Policy/Regulation,strong
Soybean_Oil,2024-04-29,2024-05-21,17,1.0,72,2024 biofuel policy uncertainty (soybean oil),Policy/Regulation,strong
Soybean_Oil,2024-06-25,2024-10-07,71,0.9998,74,2024 Biofuel tax credit transition (Blenders → 45Z),Policy/Regulation,strong
Soybean_Oil,2024-10-11,2024-12-20,42,0.9999,74,2024 Biofuel tax credit transition (Blenders → 45Z),Policy/Regulation,strong
Soybean_Oil,2025-03-27,2025-04-03,6,1.0,76,2025 Trump tariffs on Mexico/Canada,Trade/Tariff,strong
Soybean_Oil,2025-04-11,2025-05-21,27,0.9987,76,2025 Trump tariffs on Mexico/Canada,Trade/Tariff,strong
Sugar,1986-07-16,1986-07-25,8,1.0,1,1986–87 early-era weather and policy volatility,Weather,probable
Sugar,1986-08-13,1986-08-19,5,1.0,1,1986–87 early-era weather and policy volatility,Weather,probable
Sugar,1986-09-29,1986-10-06,6,0.9999,1,1986–87 early-era weather and policy volatility,Weather,probable
Sugar,1988-01-27,1988-02-02,5,1.0,,[no confirmed event],,
Sugar,1988-06-27,1988-07-07,7,1.0,2,1988 North American drought,Weather,strong
Sugar,1988-07-20,1988-07-28,7,1.0,2,1988 North American drought,Weather,strong
Sugar,1990-07-13,1990-07-19,5,1.0,,[no confirmed event],,
Sugar,1993-03-15,1993-03-19,5,1.0,,[no confirmed event],,
Sugar,1999-06-25,1999-07-12,10,1.0,18,1999 Brazilian real devaluation,Financial/Macro,strong
Sugar,2000-03-30,2000-04-05,5,0.9852,18,1999 Brazilian real devaluation,Financial/Macro,strong
Sugar,2002-01-18,2002-01-30,7,0.9866,84,2002 Brazilian sugar production record,Supply/Demand,probable
Sugar,2002-04-25,2002-05-03,7,1.0,84,2002 Brazilian sugar production record,Supply/Demand,probable
Sugar,2006-01-20,2006-01-26,5,1.0,85,2006 Brazil ethanol / sugar production dynamics,Policy/Regulation,probable
Sugar,2011-06-24,2011-07-01,6,0.9969,86,2010–11 global sugar deficit,Supply/Demand,strong
Sugar,2020-04-29,2020-05-05,5,0.9999,58,2020 COVID-19 demand collapse (sugar),Financial/Macro,strong
Wheat,1988-06-20,1988-07-18,19,1.0,2,1988 North American drought,Weather,strong
Wheat,1995-06-21,1995-07-17,17,0.998,9,1995–96 global wheat stocks crisis,Supply/Demand,strong
Wheat,1996-04-26,1996-05-02,5,0.9988,9,1995–96 global wheat stocks crisis,Supply/Demand,strong
Wheat,2001-10-03,2001-10-10,6,0.9873,87,Post-9/11 wheat dynamics,Geopolitics,probable
Wheat,2002-08-26,2002-09-11,11,0.9982,26,2002 Australian drought,Weather,strong
Wheat,2002-09-13,2002-09-25,9,0.9899,26,2002 Australian drought,Weather,strong
Wheat,2003-05-09,2003-05-19,7,0.9932,26,2002 Australian drought,Weather,strong
Wheat,2003-07-08,2003-08-04,20,1.0,28,2003 harvest weather and global wheat supply,Weather,probable
Wheat,2003-10-02,2003-10-08,5,0.9905,28,2003 harvest weather and global wheat supply,Weather,probable
Wheat,2004-07-01,2004-07-15,9,1.0,30,2004 Australian drought continuing,Weather,probable
Wheat,2005-08-26,2005-10-12,32,1.0,33,2005 Australian drought / world wheat stocks,Weather,probable
Wheat,2006-05-23,2006-06-13,14,1.0,35,2006 Australian drought (worst in 100 years),Weather,strong
Wheat,2006-09-27,2006-10-17,15,1.0,35,2006 Australian drought (worst in 100 years),Weather,strong
Wheat,2007-04-12,2007-04-20,7,0.9984,37,2007 Easter freeze (wheat),Weather,strong
Wheat,2007-06-26,2007-07-24,19,1.0,39,2007 global wheat shortage,Supply/Demand,strong
Wheat,2007-08-29,2007-09-19,14,1.0,39,2007 global wheat shortage,Supply/Demand,strong
Wheat,2007-10-01,2007-10-16,12,0.9994,39,2007 global wheat shortage,Supply/Demand,strong
Wheat,2008-01-18,2008-01-29,6,0.9948,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Wheat,2008-02-05,2008-04-09,42,1.0,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Wheat,2008-04-16,2008-05-28,28,1.0,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Wheat,2008-05-30,2008-06-13,11,1.0,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Wheat,2008-06-27,2008-12-29,122,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2009-01-07,2009-01-21,9,0.9999,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2009-02-26,2009-03-05,6,0.9594,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2009-03-10,2009-04-08,22,0.9999,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2009-06-30,2009-07-14,9,0.9997,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2009-08-05,2009-11-30,79,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2009-12-17,2010-01-06,10,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2010-05-03,2010-05-26,18,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2010-07-02,2010-07-16,9,0.9972,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2010-08-03,2010-08-26,18,1.0,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2010-10-27,2010-11-17,16,0.9958,42,2008 Financial Crisis commodity collapse,Financial/Macro,strong
Wheat,2011-04-26,2011-05-09,10,0.9995,46,2010–11 grain bull market,Supply/Demand,strong
Wheat,2011-06-22,2011-07-21,20,1.0,46,2010–11 grain bull market,Supply/Demand,strong
Wheat,2014-07-18,2014-07-30,9,0.9956,50,2014 Russia-Ukraine (Crimea) tensions,Geopolitics,probable
Wheat,2014-09-18,2014-09-30,9,1.0,50,2014 Russia-Ukraine (Crimea) tensions,Geopolitics,probable
Wheat,2018-08-20,2018-08-29,8,0.9805,55,2018 EU/Russia drought (wheat),Weather,probable
Wheat,2022-02-24,2022-03-18,17,1.0,63,Russia-Ukraine war (Feb 2022+),Geopolitics,strong
Wheat,2022-05-13,2022-06-08,17,0.9988,63,Russia-Ukraine war (Feb 2022+),Geopolitics,strong
Wheat,2022-06-16,2022-06-28,7,1.0,63,Russia-Ukraine war (Feb 2022+),Geopolitics,strong
Wheat,2022-09-07,2022-09-13,5,0.999,63,Russia-Ukraine war (Feb 2022+),Geopolitics,strong
