Date,Corn_IVol,Corn_TotalVol,Soybean_IVol,Soybean_TotalVol,Wheat_IVol,Wheat_TotalVol,Cotton_IVol,Cotton_TotalVol,Coffee_IVol,Coffee_TotalVol,Oats_IVol,Oats_TotalVol,Sugar_IVol,Sugar_TotalVol,Soybean_Oil_IVol,Soybean_Oil_TotalVol,Lumber_IVol,Lumber_TotalVol
1986-09-23,,0.017479139280581913,,0.009910323347077978,,0.02568932087770644,,0.08203392643535855,,0.009005924241560123,,0.015385759615046526,,0.035319468232989315,,0.016606819500129145,,0.019497384689981197
1986-09-24,,0.017526959716771113,,0.009899243374671813,,0.025609117108631216,,0.08203392643535855,,0.009005924241560123,,0.015148003823718245,,0.03533660484519996,,0.01660356968162139,,0.019508617945399483
1986-09-25,,0.017572565983849032,,0.009902849219502076,,0.02560760780124897,,0.08203392643535855,,0.009005924241560123,,0.015276834948466574,,0.035204120390512565,,0.016614743235931883,,0.0194007319502635
1986-09-26,,0.01763291253031972,,0.009896310496495685,,0.025631967578624487,,0.08203392643535855,,0.009039678539136975,,0.014957943829359915,,0.034736967553830406,,0.016584398660516867,,0.019423069623309572
1986-09-29,,0.01824211978942749,,0.009934933872691131,,0.025629565483029887,,0.08203150244908301,,0.009039678539136975,,0.015005857608075246,,0.03485154929718245,,0.016547301205115966,,0.019295246396804154
1986-09-30,,0.018209401075112062,,0.009935895009781584,,0.025626736513590796,,0.0823222109236327,,0.009039678539136975,,0.015005857608075246,,0.03434960869876293,,0.015965916622186507,,0.019293801141758066
1986-10-01,,0.0182136423436086,,0.009949385588271761,,0.025650184233323943,,0.08232305879235478,,0.009392054347061632,,0.014941724343811897,,0.034569162388427985,,0.01591084347889246,,0.019415431935677123
1986-10-02,,0.018287274539634028,,0.009954610912232152,,0.025720440787411616,,0.08232305879235478,,0.009392054347061632,,0.014941724343811897,,0.03458181056092254,,0.016007073710324792,,0.019408904652065892
1986-10-03,,0.01831764880792534,,0.009961361914555784,,0.025719831640613464,,0.08232305879235478,,0.009424713087690174,,0.01488880194294403,,0.03468369676500203,,0.015893013561648853,,0.019348876096853762
1986-10-06,,0.018981541283604342,,0.010180943343836709,,0.02572743457266801,,0.08232305879235478,,0.009247896522997052,,0.01488880194294403,,0.03479474759591629,,0.01609337847428444,,0.019344626082234976
1986-10-07,,0.01951915704787092,,0.010199233147136862,,0.025696791261357738,,0.08232305879235478,,0.009300417154824436,,0.014745225341293296,,0.034790408061880114,,0.01608553941613902,,0.019319278775102557
1986-10-08,,0.019650681012982823,,0.010185440433479069,,0.02566846138132038,,0.08232305879235478,,0.009107783198359098,,0.014592037396224444,,0.03423211767244568,,0.0160791863809719,,0.019388657985034852
1986-10-09,,0.019653249726828925,,0.010180146809565627,,0.025799628769367654,,0.08232305879235478,,0.009144492542273782,,0.014614279675768532,,0.03531789921622052,,0.01602719758212356,,0.01940399744453562
1986-10-10,,0.019727431798724628,,0.010161710857279554,,0.025739540701431595,,0.08232305879235478,,0.009404572271221417,,0.014205979447349882,,0.035440251109222644,,0.0158087103945045,,0.019415783931618406
1986-10-15,,0.019803666021797523,,0.010159612535830037,,0.025712488293641617,,0.08232305879235478,,0.009404572271221417,,0.014252383243695894,,0.03533700661044872,,0.015835189053118575,,0.019475279479144278
1986-10-16,,0.019788045522979213,,0.01019473921265704,,0.025721234308802476,,0.08232088394300298,,0.009441834949303467,,0.014252383243695894,,0.033879081457377204,,0.01635303581180049,,0.01943698536084754
1986-10-17,,0.01984003506987197,,0.010210392828299057,,0.02570068888754302,,0.08232088394300298,,0.00947909600162459,,0.014252383243695894,,0.03406316785264957,,0.016375277345501413,,0.01950212602148655
1986-10-20,,0.019957832734448795,,0.010283554049223069,,0.02575961579914939,,0.08231870858438219,,0.00951636143576382,,0.014178490040936215,,0.03407396049999137,,0.016411287640008272,,0.019392319592746638
1986-10-21,,0.020205711526742484,,0.010280038064253262,,0.025848427935163655,,0.08247484841099025,,0.00951636143576382,,0.013655784748254145,,0.03407696796693893,,0.01631564304355351,,0.019233921365647045
1986-10-22,,0.020456115044682213,,0.01035044507699986,,0.0257717017430147,,0.08247484841099025,,0.009691139632663073,,0.01364172638087905,,0.034072416354462766,,0.016335822267323535,,0.019247673086477696
1986-10-23,,0.020479334432211914,,0.010358944363032488,,0.025769984168621436,,0.08247484841099025,,0.009728072849967158,,0.01368978604762802,,0.034039088588444504,,0.016337106877071843,,0.019233035158772525
1986-10-24,,0.021061963624925826,,0.010365651360534571,,0.025770817587298003,,0.08247484841099025,,0.009728072849967158,,0.013735183026866571,,0.033941437249947005,,0.016326746150584256,,0.01921499896003993
1986-10-27,,0.02106460805097041,,0.010479797794534815,,0.025907747628826153,,0.08247484841099025,,0.009728072849967158,,0.013969068998608008,,0.03391859483802226,,0.016930451612614996,,0.01919688232070276
1986-10-28,,0.021066743272322885,,0.010480596894636924,,0.025900985153979074,,0.08247484841099025,,0.009728072849967158,,0.01396398287374089,,0.03390860369757658,,0.01694383445724902,,0.019212970217996294
1986-10-29,,0.02105607302429303,,0.010510185952919884,,0.025915890447357526,,0.08247484841099025,,0.009925626265169782,,0.01396398287374089,,0.03387101830996101,,0.01708507570595009,,0.019186362272144323
1986-10-30,,0.02132279724912366,,0.010716602465299256,,0.02608365265918416,,0.08247484841099025,,0.009925626265169782,,0.013938964295769308,,0.03382110170576212,,0.017296399854732566,,0.01916172892470653
1986-10-31,,0.021320476518439907,,0.010713420257398307,,0.025424970941501923,,0.08249263235711181,,0.009925626265169782,,0.013938964295769308,,0.0339971964541007,,0.01774510971810315,,0.019035133649244414
1986-11-03,,0.021419851600006486,,0.010688072832969653,,0.025274144730158953,,0.08249263235711181,,0.009925626265169782,,0.013888752322624334,,0.03406364199167166,,0.017506992744477524,,0.01902116851611311
1986-11-04,,0.021424330575004716,,0.010598738176784204,,0.017545628986469396,,0.08249263235711181,,0.009925626265169782,,0.01478587818193684,,0.03402943202218616,,0.016723648060723153,,0.019056566491756907
1986-11-05,,0.021419682088771038,,0.01044778363670365,,0.01708684794336539,,0.08248698192248055,,0.009925626265169782,,0.015240016222856832,,0.033990915733307016,,0.016375364352519944,,0.01902999154107639
1986-11-06,,0.021421914797891628,,0.010456516883342235,,0.01668152457981238,,0.08248698192248055,,0.009925626265169782,,0.015240648926233261,,0.033998472270684074,,0.0163702816263348,,0.019055408381583604
1986-11-07,,0.021378972333127185,,0.010419476201747368,,0.016603000906721076,,0.08248698192248055,,0.009998044221737947,,0.015354304683571044,,0.03402976188683441,,0.016377099150821903,,0.018948146248555318
1986-11-10,,0.021357206125324112,,0.01041406110010945,,0.016630883704270325,,0.08248698192248055,,0.009998044221737947,,0.015386522750008643,,0.03404490056263902,,0.016368678660068994,,0.01885362262400049
1986-11-11,,0.021343303054618106,,0.01040766814701697,,0.016660525931405386,,0.0824813513117201,,0.009998044221737947,,0.015386522750008643,,0.03419201323194777,,0.016374597187904696,,0.018853455990268504
1986-11-12,,0.021759403952305283,,0.010377104826373612,,0.01624592698181623,,0.0824813513117201,,0.010019126576684021,,0.015085442490407438,,0.03419715611001228,,0.01618240814836413,,0.018849400992974472
1986-11-13,,0.02172748153978909,,0.01042205557920197,,0.0162437768370427,,0.0824813513117201,,0.010019126576684021,,0.014954085933294094,,0.034175346594797644,,0.016207578864676584,,0.01878858430265524
1986-11-14,,0.021720489694826962,,0.010404739043755301,,0.015867906246574894,,0.0824813513117201,,0.010160438837720484,,0.014961008363171902,,0.034324175902946334,,0.016168363253421948,,0.018788641020561048
1986-11-17,,0.02164900192513628,,0.01047170567777789,,0.01602612006946288,,0.0824813513117201,,0.010198838246263725,,0.014246014565797986,,0.03420460760849717,,0.01621517952018726,,0.018763962759579967
1986-11-18,,0.021645840230527146,,0.010471987834112434,,0.016147238015939046,,0.08247574022372386,,0.010198838246263725,,0.01441272011733329,,0.033848034113918006,,0.016262739199413068,,0.018782698219390312
1986-11-19,,0.021797268391929487,,0.010451867250876878,,0.015668466377568385,,0.08247574022372386,,0.010198838246263725,,0.014438488980982536,,0.03386151468544365,,0.01620538033238285,,0.018946341497296668
1986-11-20,,0.021810792205187123,,0.010457369343956038,,0.015513784869617018,,0.08258979742893853,,0.010198838246263725,,0.014438488980982536,,0.03391619874434129,,0.01620415683814292,,0.018950279189203292
1986-11-21,,0.021789705809193406,,0.010462815356176401,,0.015508350996253062,,0.08258979742893853,,0.010027041188017305,,0.014544229876554488,,0.03358831826219997,,0.01622438380572516,,0.01877532120296884
1986-11-24,,0.021792116886493747,,0.0104675820579179,,0.015473101761917664,,0.08258979742893853,,0.009839395572248649,,0.0154994139418582,,0.03326104936709772,,0.016161338689107328,,0.018616876106665674
1986-11-25,,0.02179913004349916,,0.010475109553592522,,0.015433251731052536,,0.08261449715096963,,0.009839395572248649,,0.01551703916280659,,0.033218881796200285,,0.016158874690030047,,0.018516047603286068
1986-11-26,,0.021833843081134584,,0.010522154186063781,,0.015531046543307668,,0.08261449715096963,,0.00963399352106347,,0.01551703916280659,,0.03323240173134066,,0.01632791528762304,,0.01853896344446441
1986-12-01,,0.021916543552236708,,0.010522372749547761,,0.015533548115551313,,0.08261449715096963,,0.00963399352106347,,0.015523487192921188,,0.033378158150412375,,0.01616352044547516,,0.01857864393354591
1986-12-02,,0.021890606723117597,,0.010514040589964954,,0.015536252977461454,,0.08271340570189772,,0.009751065088524524,,0.01562809292015923,,0.03324319258414932,,0.016196228167565708,,0.01852768777799795
1986-12-03,,0.02193108018318035,,0.010513159203854063,,0.015286888404558942,,0.08271340570189772,,0.010109704725085213,,0.016005426247590493,,0.03335822592218001,,0.01614385231223396,,0.018527109218999457
1986-12-04,,0.02192453394337047,,0.010511046190249134,,0.015277287072377464,,0.08272730992226326,,0.010155474379905525,,0.016083163410396072,,0.033229219425250534,,0.016055182931567876,,0.01854573074901518
1986-12-05,,0.021911883827145814,,0.010509159549443467,,0.015206154873162302,,0.08272730992226326,,0.010275525336772664,,0.01609388051702016,,0.0331884419754575,,0.016019690547469264,,0.018512346429783496
1986-12-08,,0.021911945912256696,,0.010514525077361161,,0.01519432448487717,,0.08272730992226326,,0.010397215125656016,,0.016284751131068424,,0.033162908798364275,,0.01612159213654296,,0.018647521188809604
1986-12-09,,0.021870712416797344,,0.010519139733343022,,0.015219012287894075,,0.08273727230259088,,0.010520688704317972,,0.01630124089741969,,0.033624815279521346,,0.016100573685248813,,0.018573283108453992
1986-12-10,,0.02187053172985649,,0.010505519960109419,,0.01518952102631917,,0.0827300408960052,,0.010520688704317972,,0.016408928279678922,,0.033559079782522296,,0.01619383975355151,,0.018434856436369912
1986-12-11,,0.02194058342236576,,0.010538600873569651,,0.015210976625003448,,0.08281356881136709,,0.010520688704317972,,0.016408928279678922,,0.03348565835761843,,0.016194679629926812,,0.018467940186003035
1986-12-12,,0.021958010829362835,,0.010528228024816656,,0.015058989590745996,,0.08281356881136709,,0.010322515903546109,,0.016408928279678922,,0.033281854397917615,,0.01609445126058634,,0.018371334514388882
1986-12-15,,0.021959805338446298,,0.010505520817524507,,0.015052793113316395,,0.08281356881136709,,0.010322515903546109,,0.016409373002001106,,0.033491197056908235,,0.016112311266787246,,0.018378370891925663
