Date,Corn_alpha,Corn_beta_SP500,Corn_beta_Oil,Corn_beta_USD,Corn_beta_Sector,Soybean_alpha,Soybean_beta_SP500,Soybean_beta_Oil,Soybean_beta_USD,Soybean_beta_Sector,Wheat_alpha,Wheat_beta_SP500,Wheat_beta_Oil,Wheat_beta_USD,Wheat_beta_Sector,Cotton_alpha,Cotton_beta_SP500,Cotton_beta_Oil,Cotton_beta_USD,Cotton_beta_Sector,Coffee_alpha,Coffee_beta_SP500,Coffee_beta_Oil,Coffee_beta_USD,Coffee_beta_Sector,Oats_alpha,Oats_beta_SP500,Oats_beta_Oil,Oats_beta_USD,Oats_beta_Sector,Sugar_alpha,Sugar_beta_SP500,Sugar_beta_Oil,Sugar_beta_USD,Sugar_beta_Sector,Soybean_Oil_alpha,Soybean_Oil_beta_SP500,Soybean_Oil_beta_Oil,Soybean_Oil_beta_USD,Soybean_Oil_beta_Sector,Lumber_alpha,Lumber_beta_SP500,Lumber_beta_Oil,Lumber_beta_USD,Lumber_beta_Sector
1986-07-14,-0.0008298731625431026,-0.1422255251509514,0.005469628124761874,0.15793572478797654,0.43758820187917224,0.00011576218346176295,-0.01768960590325739,0.01291972236155499,-0.2086736980934043,0.36731527735478653,-0.002073042714143262,0.40265656860685595,0.040126317883084524,-0.007250399830868701,0.33187171040656854,0.0006048997860731204,-0.03751027270213142,-0.0043579379652520156,0.03913919660866279,-0.00943904277755199,-0.0020507767369278276,-0.05274221308070472,-0.012840241466259464,-0.058500548455400744,0.22364242381223878,-0.0022445911301472725,0.022075156872311357,0.000343606909452523,-0.4725751662119383,0.10308286733153599,7.99947977088379e-05,0.12258956728304113,-0.04634628500084364,-0.3107646137125063,0.8881374231456578,-0.001084119512559317,-0.1013428082510533,0.03580390975776785,0.4953260972019241,0.9574901879557672,-1.6318931657770546e-07,0.4591749110922404,0.034333522873208774,-0.08232030774482538,0.2573835182245366
1986-07-15,-0.0005621982663907275,-0.20812095634009722,0.00639861088625903,0.13451369356632845,0.45675377722823834,0.0001131550373478787,-0.010761315434911274,0.014220237038756477,-0.22309214280353123,0.38130157554434646,-0.002319904141279845,0.4605509549259393,0.03965336489510917,0.010693729099984662,0.3017799297444289,0.0006189990341841726,-0.042341964644211395,-0.004627469836122233,0.04134051539128214,-0.011128234428358336,-0.0018107845399387267,-0.10520847799810257,-0.010495494952238373,-0.09775540484234291,0.25705302119462425,-0.0023379638927847283,0.04811953440361598,0.0009149464199831902,-0.4738611461668485,0.1033796009612959,0.0005718437057812777,-0.004997576209382598,-0.048337968655407605,-0.31830513278676575,0.9159602127521379,-0.0010726121747849612,-0.10206802226616621,0.036305402356897616,0.4896472054024019,0.9642793720612678,-0.00015018800591201523,0.4934800921449607,0.03378739618363837,-0.06832769933102857,0.24002797785305932
1986-07-16,-0.0005520861829385298,-0.20667963529741099,0.006783125089322354,0.13488662817145247,0.45799168499190157,0.00024045531685357895,-0.0021032186189511564,0.017804939552075443,-0.22694374737471962,0.3884688316074227,-0.0022780944293820347,0.49337972674452657,0.04479311840567171,0.0304974056416377,0.3160403112219598,0.0005595050611360281,-0.031592457487264115,-0.004336590194091999,0.05380254432216615,-0.009660587986785898,-0.001800868212178629,-0.10381243698162959,-0.0101259432000805,-0.09750156295336176,0.258182666633652,-0.0024001884626133523,0.015317429542161701,-0.004563811181038609,-0.4928123551200934,0.08653933393353642,0.00035434749310279425,-0.04491559242015987,-0.0567732540896071,-0.33166221445905497,0.8655946693745473,-0.0006777458417306589,-0.08383118546929574,0.04647032906331348,0.4724410290484884,0.9803675286347535,-0.0003011812602003503,0.4449349053477249,0.024773141607402446,-0.09213257978651107,0.20782408354816176
1986-07-17,-0.0007053416276072704,-0.21122228942403573,0.008393994709968211,0.12780524190965462,0.4455256614305186,0.00027722121060676865,-0.007434938413985645,0.01838546861898601,-0.21024794834277097,0.3861611184575572,-0.002501074265853507,0.49102166192566776,0.046217766576884374,0.007358796320683864,0.32104616274110964,0.0005646463253786175,-0.03186132188410815,-0.004321385745546188,0.05507891772090932,-0.009863870305085861,-0.0018103891245876502,-0.10288565904771892,-0.01022001584393756,-0.1008479416862244,0.2589844165108318,-0.0024782453219063553,0.013410462556198693,-0.003919977939220768,-0.4986641979165118,0.08675904952930334,0.0007982919873380564,-0.01067835439614492,-0.06111218381906659,-0.32189860773003576,0.712682322396712,-0.0006275324571768319,-0.09298813402055614,0.047540437043071274,0.4992542591494925,0.9748957572463124,-0.00016148744978274684,0.45257514922122294,0.02304453938875444,-0.09070077523835864,0.20605773343931927
1986-07-18,-0.0008102183208410622,-0.21084136191210487,0.006187534479501556,0.14089428481479763,0.42926169910456097,0.0003206284470408625,-0.0024316878122216112,0.016686389263766616,-0.1927315300883244,0.34930537869708467,-0.002515878877553843,0.4922269767357537,0.04274714735853447,0.034134955413533806,0.2593575723202708,0.000569732589250937,-0.031535741670872454,-0.00433856477123084,0.05558073009702395,-0.01182448729657409,-0.0018413902307323291,-0.10532604874779655,-0.00985218125748714,-0.10644609842114916,0.27748755995218405,-0.002513483408274775,0.01157060850765837,-0.00389400913579999,-0.5014085080726778,0.10053073681667266,0.0015429502130736186,0.014755000809577909,-0.04676291628888576,-0.3580080541152991,0.47842922115870007,-0.0005689933548448954,-0.0896191827703836,0.04732253869460615,0.5030543900955095,0.950726537306396,-0.0002506360132473444,0.4544229356035247,0.019376667981240117,-0.0642769754807804,0.16670101937816106
1986-07-21,-0.0008888023050551521,-0.20974007297490907,0.006190364786385729,0.13780857416554418,0.4306637067599772,0.00027368969412641485,-0.001747153695717394,0.017627844198874865,-0.2022166857492552,0.34683327211765475,-0.002566778558715925,0.49303723990633475,0.042514080834081175,0.03421408563160286,0.25973932844938075,0.0005729510120521625,-0.03158682864701161,-0.004373169493955904,0.05596717601106867,-0.011622823417257714,-0.0018393914488160873,-0.10534361342265178,-0.009658623527071832,-0.10789450998443723,0.2765112035850238,-0.0024333337155283104,0.010333221491319832,-0.00347984364742933,-0.5018477911500228,0.09955988093067784,0.0017120769867084906,0.011928474183162719,-0.05136991195075615,-0.3227831034657204,0.5298637026854484,-0.0006019388925748291,-0.08906985870041921,0.04840435043852543,0.4927582665742059,0.945141164911349,-0.00017588627384563046,0.4531895275469831,0.02037775451221045,-0.06946336279307438,0.1616209811249431
1986-07-22,-0.000986727502378512,-0.21765318066239372,0.00688103859532183,0.1381562872416842,0.4179582436260015,8.069634513218049e-05,-0.015767859315361125,0.02135402299368223,-0.20178223681860682,0.3266328917558861,-0.0024974404692622238,0.4953334676170544,0.03803807531934978,0.0365464411769732,0.2659305981772216,0.000564913568510964,-0.03158641947791874,-0.003666302081948825,0.055560188193493426,-0.012063568952901081,-0.0017660863325229537,-0.10530349261054778,-0.01633538053218639,-0.10410521833415445,0.278943495652776,-0.002711242797245092,-0.0071538954880437135,0.004376815136424183,-0.5034844387584314,0.06325704216887115,0.0018685200756057064,0.0033644175674674313,-0.07647074795579713,-0.30593341383669104,0.4987703086096956,-0.0005801096573047467,-0.08156543952731787,0.05399707885443923,0.48902557100620897,0.9563707378128119,-0.0003727278458154886,0.45208475410595367,0.036774039019911685,-0.07858710529824801,0.14353348159201929
1986-07-23,-0.0007612915634155676,-0.2130162375061796,0.006623464837088467,0.14632901055642356,0.41537888009651563,0.00010409035108158399,-0.015250603030258363,0.021191707092514746,-0.20081801138706132,0.3274206445737291,-0.002514962250698125,0.4944118379585472,0.04012677545557887,0.032654569379920395,0.29062302728674516,0.0005662267271720936,-0.03146358343867975,-0.003758303208802982,0.05575289473987202,-0.012673395955698902,-0.0017800194602719372,-0.10587325619169854,-0.016012034312349613,-0.105100635642501,0.28070529231658164,-0.002717866620648677,-0.007780325275898237,0.00487642629517069,-0.5045829045878469,0.06743744931646019,0.0015222967455282414,0.003932933925342979,-0.07837655586415446,-0.30493343964918773,0.3775786404658187,-0.0005061840503661071,-0.07974214837318108,0.053289145384513535,0.4925314647986461,0.9576454104608364,-0.00011508803196584717,0.45631106529850207,0.03704356304898841,-0.07094633018643548,0.1653864167629436
1986-07-24,-0.0005119541072864464,-0.22262271268220496,0.007415750124613062,0.1635273944996709,0.4178256773280114,3.9893619821109354e-05,-0.01265187206156445,0.021100672027927064,-0.204170412467501,0.32082833810682243,-0.002749855123755951,0.5009229853262229,0.03960495946764057,0.017604402357731953,0.2511241291401219,0.0004900689781030509,-0.026235128189564767,-0.0032351748308163653,0.05630078439637796,-0.018177836663670864,-0.0017704948646446016,-0.10635512565284483,-0.016025952996889956,-0.10475230312398054,0.28166437556975765,-0.002631925162228794,-0.012475168929590247,0.004625428955295734,-0.5026038951544742,0.07659467115793747,0.0017045106944639106,0.003653742219856794,-0.0758274161859597,-0.2768621638479286,0.3767003835091715,-0.0007776886778642916,-0.06926809847400804,0.0526846426800748,0.47422052619366806,0.9197952775197292,-5.178386443938478e-05,0.4603075345436872,0.039082175555788155,-0.0519466696983521,0.166843646978183
1986-07-25,-0.0006247174856098055,-0.22258163418035343,0.009472779688753805,0.15301280718791113,0.4044065882477255,-6.011225755270934e-05,0.014098789249584923,0.027745918821102736,-0.1966324128339806,0.32115095708638147,-0.0028147644327334393,0.4971324362492221,0.040313555464396585,0.009962828659194393,0.2416890024435029,0.0004940197030636335,-0.027990681557675093,-0.0036163473314449767,0.05555358969664462,-0.01801167458081468,-0.0017488128792676758,-0.10573403520717066,-0.016345392979203417,-0.10249949268000218,0.2840018496899174,-0.0024539424012469564,-0.02307158737154051,-0.0006806708150317283,-0.49414743460776983,0.09488758775084064,0.002365616283986675,0.052369723912264965,-0.08063177000915796,-0.1892204631132557,0.4091385974712581,-0.0008027214726024978,-0.04509839287751668,0.05738637135784783,0.4870302081697269,0.9214974395328241,-0.00024612346641708416,0.43312584850640706,0.03814572393783033,-0.08465607028041247,0.13915869681902016
1986-07-28,-0.0006731373176311593,-0.20917609067559098,0.009748467469347355,0.16583173284525735,0.3984680329414768,5.1520810604198546e-05,-0.0015332634651022566,0.0253139034325295,-0.1941435934062002,0.3016235419007429,-0.002494811565195326,0.416206713774737,0.03761118984173362,-0.05929682046544842,0.2293725371558081,0.0005014090623239362,-0.02913848567873847,-0.003765766184063038,0.05550682250886052,-0.019455212126035792,-0.001794274938528784,-0.09658079493832313,-0.015739495993109642,-0.09716648949760527,0.2882280990510167,-0.002419655937969913,-0.028464681406963482,-0.0013317328161021103,-0.4946471771852324,0.08753970836911004,0.0027585506125297463,-0.028878924154348555,-0.08593705252475345,-0.2350965666110303,0.3753950225870753,-0.0007354547552249998,-0.06159898734675602,0.056791277328348086,0.47297161035261853,0.9219807827788887,-0.0005471282862414772,0.5063817837716456,0.04078192422978278,-0.0213185114657398,0.1292856733560548
